siteID,date,speciesID,individualID,s.scored,s.eplus,vwc,add. s.scored,add. s.eplus,Notes,total s.scored,total eplus
MNT,108,AGHY,1,5,0,2.9,,,,,
MNT,108,AGHY,2,5,0,4.8,,,,,
MNT,108,AGHY,3,3,0,18.5,,,,,
MNT,108,AGHY,4,5,0,6.6,,,,,
MNT,108,AGHY,5,5,0,4.8,,,,,
MNT,108,AGHY,6,5,0,4.8,,,,,
MNT,108,AGHY,7,5,0,8,,,,,
MNT,108,AGHY,8,5,0,10.2,,,,,
MNT,108,AGHY,9,0,0,4,,,,,
MNT,108,AGHY,10,5,0,12.3,,,,,
MNT,108,AGHY,11,5,5,8.7,15,15,,,
MNT,108,AGHY,12,5,0,5.5,,,,,
MNT,108,AGHY,13,5,0,5.8,,,,,
MNT,108,AGHY,14,5,0,5.5,,,,,
MNT,108,AGHY,15,5,0,8,,,,,
MNT,108,AGHY,16,5,0,2.9,,,,,
MNT,108,AGHY,17,0,0,6.6,,,,,
MNT,108,AGHY,18,5,0,5.8,,,,,
MNT,108,AGHY,19,5,0,8.7,,,,,
MNT,108,AGHY,20,5,5,4.8,15,10,,,
MNT,108,AGHY,21,5,1,5.8,15,6,,,
MNT,108,AGHY,22,5,0,4.8,,,,,
MNT,108,AGHY,23,5,0,6.9,,,,,
MNT,108,AGHY,24,5,0,3.3,,,,,
MNT,108,AGHY,25,5,0,6.6,,,,,
WSH,117,AGHY,27,5,0,34,,,,,
WSH,117,AGHY,28,5,0,65.1,,,,,
WSH,117,AGHY,31,5,0,30.8,,,,,
WSH,117,AGHY,33,5,0,27.5,,,,,
WSH,117,AGHY,34,5,0,29.5,,,,,
WSH,117,AGHY,35,5,0,33.3,,,,,
WSH,117,AGHY,36,5,0,29,,,,,
WSH,117,AGHY,37,5,0,37.7,,,,,
WSH,117,AGHY,38,5,0,34.8,,,,,
WSH,117,AGHY,39,5,0,27.5,,,,,
WSH,117,AGHY,43,5,0,37.7,,,,,
WSH,117,AGHY,44,5,0,43.4,,,,,
WSH,117,AGHY,45,5,0,42.7,,,,,
WSH,117,AGHY,47,5,0,30.8,,,,,
WSH,117,AGHY,48,5,0,40.2,,,,,
WSH,117,AGHY,49,5,0,69.8,,,,,
WSH,117,AGHY,50,5,0,91.5,,,,,
WSH,117,AGHY,51,5,0,28.3,,,,,
WSH,117,AGHY,52,5,0,29.3,,,,,
WSH,117,AGHY,53,5,0,30.8,,,,,
WSH,117,AGHY,54,5,0,26.8,,,,,
WSH,117,AGHY,55,5,0,25,,,,,
LEE,117,ERSP,56,5,0,40.9,,,,,
LEE,117,ERSP,57,5,0,41.6,,,,,
LEE,117,ERSP,58,5,0,42.6,,,,,
LEE,117,ERSP,59,5,0,38.7,,,,,
LEE,117,ERSP,60,5,0,28.3,,,,,
LEE,117,ERSP,61,5,0,31.5,,,,,
LEE,117,ERSP,62,5,0,34.4,,,,,
LEE,117,ERSP,63,5,0,22.1,,,,,
LEE,117,ERSP,64,5,0,27.9,,,,,
LEE,117,ERSP,65,5,0,82.8,,,,,
LEE,117,ERSP,66,5,0,21.7,,,,,
LEE,117,ERSP,67,5,0,57.5,,,,,
LEE,117,ERSP,68,5,0,24.6,,,,,
LEE,117,ERSP,69,5,0,42,,,,,
LEE,117,ERSP,70,5,0,38.7,,,,,
LEE,117,ERSP,71,5,0,45.2,,,,,
LEE,117,ERSP,72,5,0,36.9,,,,,
LEE,117,ERSP,73,5,0,36.6,,,,,
LEE,117,ERSP,74,5,0,36.2,,,,,
LEE,117,ERSP,75,5,0,26.1,,,,,
LEE,117,ERSP,76,5,0,47.4,,,,,
LEE,117,ERSP,77,5,0,36.6,,,,,
LEE,117,ERSP,78,5,0,43.8,,,,,
LEE,117,ERSP,79,5,0,45.2,,,,,
LEE,117,ERSP,80,5,0,45.6,,,,,
LEE,117,ERSP,81,5,0,39.5,,,,,
BST,117,AGHY,86,5,0,26.8,,,,,
BST,117,AGHY,87,5,0,26.8,,,,,
BST,117,AGHY,88,5,0,22.8,,,,,
BST,117,AGHY,89,5,0,18.1,,,,,
BST,117,AGHY,90,5,0,21.7,,,,,
BST,117,AGHY,91,5,0,19.5,,,,,
BST,117,AGHY,92,5,0,19.6,,,,,
BST,117,AGHY,94,5,0,30.8,,,,,
BST,117,AGHY,95,5,0,,,,,,
BST,117,AGHY,96,5,0,26.8,,,,,
BST,117,AGHY,97,5,0,19.2,,,,,
SJC,124,AGHY,115,5,1,19.9,,,,,
SJC,124,AGHY,116,6,5,7.6,,,,,
SJC,124,AGHY,117,5,5,4.2,,,,,
SJC,124,AGHY,118,5,5,15.7,,,,,
SJC,124,AGHY,119,5,0,26.4,,,,,
SJC,124,AGHY,120,5,5,13.1,,,,,
SJC,124,AGHY,121,5,5,3.7,,,,,
SJC,124,AGHY,122,5,5,3.7,,,,,
SJC,124,AGHY,123,5,0,3.3,,,,,
SJC,124,AGHY,124,5,0,3.3,,,,,
SJC,124,AGHY,125,5,5,4,,,,,
SJC,124,AGHY,126,5,5,0,,,,,
SJC,124,AGHY,127,5,5,2.6,,,,,
SJC,124,AGHY,128,5,5,2.6,,,,,
SJC,124,AGHY,129,5,5,1.5,,,,,
SJC,124,AGHY,130,5,5,1.9,,,,,
SJC,124,AGHY,131,5,4,1.1,15,12,,,
SJC,124,AGHY,132,5,5,1.1,,,,,
SJC,124,AGHY,133,5,5,1.9,,,,,
SJC,124,AGHY,134,5,5,0,,,,,
SJC,124,AGHY,135,4,3,1.1,15,5,,,
SJC,124,AGHY,137,5,4,0,,,,,
SJC,124,AGHY,138,5,5,1.9,15,4,,,
LPEF,130,AGHY,139,5,0,30.3,,,,,
LPEF,130,AGHY,140,5,4,13.8,15,15,,,
LPEF,130,AGHY,141,5,2,18.9,15,4,,,
LPEF,130,AGHY,142,5,4,13.8,15,13,,,
LPEF,130,AGHY,143,5,5,12,15,15,,,
LPEF,130,AGHY,144,5,5,13.2,15,3,,,
LPEF,130,AGHY,145,5,4,13.4,15,13,,,
LPEF,130,AGHY,146,5,5,15.6,15,13,,,
LPEF,130,AGHY,147,5,5,13.1,15,14,,,
LPEF,130,AGHY,148,5,0,18.5,,,,,
LPEF,130,AGHY,149,5,0,2.9,,,,,
LPEF,130,AGHY,150,5,5,2.2,15,15,,,
LPEF,130,AGHY,152,5,2,15.6,15,15,,,
LPEF,130,AGHY,153,5,0,8,,,,,
LPEF,130,AGHY,154,5,4,14.5,15,13,,,
LPEF,130,AGHY,155,5,5,16,15,15,,,
LPEF,130,AGHY,156,5,5,16.7,15,15,,,
LPEF,130,AGHY,158,5,5,17,5,5,,,
LPEF,130,AGHY,159,5,5,16.3,15,15,,,
COHR,130,AGHY,160,5,5,5.5,15,15,,,
COHR,130,AGHY,161,5,5,3.3,15,15,,,
COHR,130,AGHY,162,5,5,3.7,15,15,,,
COHR,130,AGHY,163,5,5,5.2,15,15,,,
COHR,130,AGHY,164,5,5,6.6,15,13,,,
COHR,130,AGHY,165,5,5,14.5,15,7,,,
COHR,130,AGHY,166,5,0,1.5,,,,,
COHR,130,AGHY,167,5,5,5.8,,,,,
COHR,130,AGHY,168,5,5,8.4,,,,,
COHR,130,AGHY,169,5,5,7.6,,,,,
COHR,130,AGHY,170,5,5,1.9,,,,,
COHR,130,AGHY,171,5,5,6.2,,,,,
COHR,130,AGHY,172,5,5,3.3,,,,,
COHR,130,AGHY,173,5,5,13.1,,,,,
COHR,130,AGHY,174,5,5,7.3,15,3,,,
COHR,130,AGHY,175,5,5,0,,,,,
COHR,130,AGHY,176,5,5,2.6,,,,,
SAEF,122,AGHY,177,5,4,,15,13,,,
SAEF,122,AGHY,178,5,0,,,,,,
SAEF,122,AGHY,179,5,5,,,,,,
SAEF,122,AGHY,180,5,4,,15,15,,,
SAEF,122,AGHY,181,5,0,,,,,,
SAEF,122,AGHY,182,5,4,,15,11,,,
SAEF,122,AGHY,183,5,1,,15,4,,,
SAEF,122,AGHY,184,5,0,,,,,,
SAEF,122,AGHY,185,5,0,,,,,,
SAEF,122,AGHY,186,5,0,,,,,,
SAEF,122,AGHY,187,5,1,,15,11,,,
SAEF,122,AGHY,188,5,3,,,,,,
SAEF,122,AGHY,189,5,0,,,,,,
SAEF,122,AGHY,190,5,5,,15,13,,,
SAEF,122,AGHY,191,5,0,,,,,,
SAEF,122,AGHY,192,5,0,,,,,,
SHSU,134,AGHY,193,5,5,,15,8,,,
SHSU,134,AGHY,194,5,5,,15,14,,,
SHSU,134,AGHY,195,5,5,,15,15,,,
SHSU,134,AGHY,196,5,5,,,,,,
SHSU,134,AGHY,197,5,5,,15,14,,,
SHSU,134,AGHY,198,5,5,,15,14,,,
SHSU,134,AGHY,199,5,4,,15,15,,,
SHSU,134,AGHY,200,5,5,,15,13,,,
SHSU,134,AGHY,201,5,5,,15,13,,,
SHSU,134,AGHY,202,5,4,,15,12,,,
SHSU,134,AGHY,203,5,5,,15,14,,,
SHSU,134,AGHY,204,5,5,,15,14,,,
SHSU,134,AGHY,205,5,5,,15,13,,,
SHSU,134,AGHY,206,5,3,,15,8,,,
SHSU,134,AGHY,207,5,5,,,,,,
SHSU,134,AGHY,208,5,5,,15,11,,,
SHSU,134,AGHY,209,5,5,,15,15,,,
SHSU,134,AGHY,210,5,5,,15,12,,,
SHSU,134,AGHY,211,5,5,,15,15,,,
SHSU,134,AGHY,212,5,5,,15,15,,,
SHSU,134,AGHY,213,5,5,,15,15,,,
SHSU,134,AGHY,214,5,5,,15,14,,,
LHWP,108,POAU,1,5,1,,15,8,,,
LHWP,108,POAU,2,5,0,,15,7,,,
LHWP,108,POAU,3,5,4,,15,8,,,
LHWP,108,POAU,4,5,5,,15,12,,,
LHWP,108,POAU,5,5,2,,15,0,,,
LHWP,108,POAU,6,5,3,,15,10,,,
LHWP,108,POAU,7,5,5,,15,9,,,
LHWP,108,POAU,8,5,5,,15,0,,,
LHWP,108,POAU,9,5,3,,15,3,,,
LHWP,108,POAU,10,5,5,,15,10,,,
LHWP,108,POAU,11,5,4,,15,0,,,
LHWP,108,POAU,12,5,1,,15,3,,,
LHWP,118,POAU,13,5,2,,15,5,,,
LHWP,118,POAU,14,5,2,,10,0,,,
LHWP,118,POAU,15,5,5,,15,2,,,
LHWP,118,POAU,16,5,0,,,,,,
LHWP,118,POAU,17,5,4,,15,7,,,
LHWP,118,POAU,18,5,0,,,0,,,
LHWP,118,POAU,19,5,2,,15,0,,,
LHWP,118,POAU,20,5,2,,15,5,,,
LHWP,118,POAU,21,5,4,,15,3,,,
LHWP,118,POAU,22,5,0,,,,,,
LHWP,118,POAU,23,5,4,,15,0,,,
LHWP,118,POAU,24,5,5,,15,8,,,
LHWP,118,POAU,25,5,0,,,,,,
LHWP,118,POAU,26,5,1,,15,12,,,
LHWP,118,POAU,27,5,1,,12,0,,,
LHWP,118,POAU,28,5,2,,,,,,
SHNF,108,POAU,29,5,5,,,,,,
SHNF,108,POAU,30,5,1,,,,,,
SHNF,108,POAU,31,5,1,,,,,,
SHNF,108,POAU,32,5,5,,,,,,
SHNF,108,POAU,33,5,3,,,,,,
SHNF,108,POAU,34,5,4,,8,6,,,
SHNF,108,POAU,35,5,5,,,,,,
SHNF,108,POAU,36,5,5,,,,,,
SHNF,108,POAU,37,5,5,,6,6,,,
SHNF,108,POAU,38,5,5,,15,9,,,
SHNF,108,POAU,39,5,3,,15,14,,,
SHNF,108,POAU,40,5,5,,10,6,,,
SHNF,108,POAU,41,5,3,,10,2,,,
SHNF,108,POAU,42,5,5,,15,14,,,
SHNF,108,POAU,43,5,4,,,,,,
SHNF,108,POAU,44,5,4,,15,7,,,
SHNF,108,POAU,45,5,4,,15,14,,,
SHNF,108,POAU,46,5,5,,,,,,
SHNF,108,POAU,47,5,4,,8,7,,,
SHNF,108,POAU,48,5,3,,10,2,,,
SHNF,108,POAU,49,5,3,,15,13,,,
SHNF,108,POAU,50,5,5,,15,7,,,
SHNF,108,POAU,51,5,5,,15,11,,,
SHNF,108,POAU,52,5,5,,15,14,,,
SHNF,108,POAU,53,5,5,,15,9,,,
SHNF,108,POAU,54,5,5,,10,10,,,
SHNF,108,POAU,55,5,3,,15,6,,,
SAEF,114,POAU,56,5,5,34,15,6,,,
SAEF,114,POAU,57,5,3,46,15,5,,,
SAEF,114,POAU,58,5,5,20.7,15,13,,,
SAEF,114,POAU,60,5,4,36.9,15,6,,,
SAEF,114,POAU,61,5,3,36.2,15,8,,,
SAEF,114,POAU,62,5,5,8,5,1,,,
SAEF,114,POAU,63,5,4,25.4,15,11,,,
SAEF,114,POAU,64,5,5,20.3,15,5,,,
SAEF,114,POAU,65,5,5,33.7,15,11,,,
SAEF,114,POAU,66,5,4,39.1,15,4,,,
SAEF,114,POAU,67,5,5,10.9,15,14,,,
SAEF,114,POAU,68,5,5,44.2,15,7,,,
SAEF,114,POAU,69,5,5,10.2,15,8,,,
SAEF,114,POAU,70,5,4,41.6,9,4,,,
SAEF,114,POAU,71,5,5,12,15,11,,,
SAEF,114,POAU,72,5,0,10.9,,,,,
SAEF,114,POAU,73,5,3,30.8,15,14,,,
SAEF,114,POAU,74,5,5,10.5,15,8,,,
SAEF,114,POAU,75,5,4,8.7,15,13,,,
SAEF,114,POAU,76,5,5,11.6,15,6,,,
SAEF,114,POAU,77,5,5,45.2,15,13,,,
SAEF,114,POAU,78,5,5,34.6,15,15,,,
SAEF,114,POAU,79,5,,28.8,15,0,,,
SAEF,114,POAU,80,5,,30.4,15,13,,,
SAEF,114,POAU,81,5,5,28.4,15,15,,,
MNT,108,NASP,1,5,0,4.8,,,,,
MNT,108,NASP,2,5,0,6.9,,,,,
MNT,108,NASP,3,5,0,6.9,,,,,
MNT,108,NASP,4,5,0,7.6,,,,,
MNT,108,NASP,5,5,0,4.8,,,,,
MNT,108,NASP,6,5,0,4.4,,,,,
MNT,108,NASP,7,5,0,5.8,,,,,
MNT,108,NASP,8,5,0,5.1,,,,,
MNT,108,NASP,9,5,0,5.5,,,,,
MNT,108,NASP,10,5,0,5.1,,,,,
MNT,108,NASP,11,5,0,5.5,,,,,
MNT,108,NASP,12,5,0,4,,,,,
MNT,108,NASP,13,5,0,4.8,,,,,
MNT,108,NASP,14,5,0,11.6,,,,,
MNT,108,NASP,15,5,0,4.8,,,,,
MNT,108,NASP,16,5,0,8,,,,,
MNT,108,NASP,17,5,0,4,,,,,
MNT,108,NASP,18,5,0,3.7,,,,,
MNT,108,NASP,19,5,0,5.8,,,,,
MNT,108,NASP,20,5,0,5.5,,,,,
MNT,108,NASP,21,5,0,18.1,,,,,
MNT,108,NASP,22,5,0,,,,,,
BLN,129,NASP,23,5,0,14.2,,,,,
BLN,129,NASP,24,5,0,30.8,,,,,
BLN,129,NASP,25,5,0,25,,,,,
BLN,129,NASP,26,5,0,30.1,,,,,
BLN,129,NASP,27,5,0,38,,,,,
BLN,129,NASP,28,5,0,36.2,,,,,
BLN,129,NASP,29,5,0,22.8,,,,,
BLN,129,NASP,30,5,0,11.6,,,,,
BLN,129,NASP,31,5,0,32.6,,,,,
BLN,129,NASP,32,5,0,30.1,,,,,
BLN,129,NASP,33,5,0,42,,,,,
BLN,129,NASP,34,5,0,47.1,,,,,
BLN,129,NASP,35,5,0,22.5,,,,,
BLN,129,NASP,36,5,0,18.5,,,,,
BLN,129,NASP,37,5,0,9.8,,,,,
BLN,129,NASP,38,5,0,32.2,,,,,
BLN,129,NASP,40,5,0,47.1,,,,,
BLN,129,NASP,41,5,0,40.1,,,,,
COHR,130,LOLI,1,5,5,8.7,,,,,
COHR,130,LOLI,2,5,5,11.6,,,,,
COHR,130,LOLI,3,5,5,19.9,,,,,
COHR,130,LOLI,4,5,4,9.5,,,,,
COHR,130,LOLI,5,5,0,14.2,,,,,
COHR,130,LOLI,6,5,0,5.1,,,,,
COHR,130,LOLI,7,5,0,1.1,,,,,
COHR,130,LOLI,8,5,5,4.8,,,,,
COHR,130,LOLI,9,5,0,9.1,,,,,
COHR,130,LOLI,10,5,5,9.1,,,,,
COHR,130,LOLI,11,5,0,5.1,,,,,
SHSU,134,LOLI,13,5,0,,,,,,
SHSU,134,LOLI,14,5,5,,15,9,,,
SHSU,134,LOLI,15,5,5,,15,15,,,
SHSU,134,LOLI,16,5,5,,15,15,,,
SHSU,134,LOLI,17,5,4,,15,8,,,
SHSU,134,LOLI,18,5,0,,,,,,
SHSU,134,LOLI,19,5,3,,15,4,,,
SHSU,134,LOLI,21,5,5,,,,,,
SHSU,134,LOLI,22,5,5,,15,15,,,
SHSU,134,LOLI,24,5,4,,15,14,,,
SHSU,134,LOLI,26,5,0,,,,,,
SHSU,134,LOLI,28,5,5,,13,6,,,
SHSU,134,LOLI,29,5,0,,,,,,
SHSU,134,LOLI,30,5,5,,15,6,,,
SHSU,134,LOLI,31,5,5,,15,14,,,
SHSU,134,LOLI,32,5,0,,,,,,
SHSU,134,LOLI,33,5,5,,,,,,
SHSU,134,LOLI,34,5,5,,8,7,,,
SHSU,134,LOLI,35,5,5,,15,14,,,
KP18,117,AGHY,215,5,5,,10,10,,,
KP18,117,AGHY,216,5,5,,10,10,,,
KP18,117,AGHY,217,5,4,,10,4,,,
KP18,117,AGHY,218,5,2,,10,1,,,
KP18,117,AGHY,219,5,0,,,,,,
KP18,117,AGHY,220,5,4,,10,5,,,
KP18,117,AGHY,221,5,0,,5,1,,,
KP18,117,AGHY,222,5,1,,,,,,
KP18,117,AGHY,223,5,2,,6,0,,,
KP18,117,AGHY,224,5,0,,,,,,
KP18,117,AGHY,225,5,1,,10,0,,,
KP18,117,AGHY,226,5,0,,,,,,
KP18,117,AGHY,227,5,1,,10,0,,,
KP18,117,AGHY,228,5,2,,10,7,,,
KP18,117,AGHY,229,5,0,,,,,,
KP18,117,AGHY,230,5,1,,10,1,,,
KP18,117,AGHY,231,5,0,,,,,,
KP18,117,AGHY,232,5,5,,10,10,,,
KP18,117,AGHY,233,5,0,,,,,,
KP18,117,AGHY,234,5,0,,,,,,
LP15,,AGHY,235,3,0,,,,,,
LP15,,AGHY,236,4,0,,,,,,
LP15,,AGHY,237,4,0,,,,,,
LP15,,AGHY,238,4,0,,,,,,
LP15,,AGHY,239,3,0,,,,,,
LP15,,AGHY,240,4,0,,,,,,
LP15,,AGHY,241,3,0,,,,,,
LP15,,AGHY,242,4,0,,,,,,
LP15,,AGHY,243,3,0,,,,,,
LP15,,AGHY,245,4,0,,,,,,
LP15,,AGHY,246,4,0,,,,,,
LP15,,AGHY,247,4,0,,,,,,
LP15,,AGHY,248,4,0,,,,,,
LP15,,AGHY,249,2,0,,,,,,
LP15,,AGHY,250,2,0,,,,,,
LP15,,AGHY,251,4,0,,,,,,
LP15,,AGHY,251,4,0,,,,,,
LP15,,AGHY,253,4,0,,,,,,
LP15,,AGHY,254,4,0,,,,,,
LP15,,AGHY,255,4,0,,,,,,
KP15,,AGHY,256,5,5,,,,,,
KP15,,AGHY,257,5,5,,,,,,
KP15,,AGHY,258,5,2,,,,,,
KP15,,AGHY,259,5,5,,,,,,
KP15,,AGHY,260,4,1,,,,,,
KP15,,AGHY,261,4,3,,,,,,
KP15,,AGHY,262,5,5,,,,,,
KP15,,AGHY,263,4,2,,,,,,
KP15,,AGHY,264,6,6,,,,,,
KP15,,AGHY,265,5,0,,,,,,
KP15,,AGHY,266,5,5,,,,,,
KP15,,AGHY,267,5,4,,,,,,
KP15,,AGHY,268,5,5,,,,,,
KP15,,AGHY,269,5,5,,,,,,
KP15,,AGHY,270,5,5,,,,,,
KP15,,AGHY,271,5,5,,,,,,
KP15,,AGHY,272,4,3,,,,,,
KP15,,AGHY,273,5,4,,,,,,
KP15,,AGHY,274,3,1,,,,,,
KP15,,AGHY,275,5,5,,,,,,
KP15,,AGHY,276,5,0,,,,,,
KP15,,AGHY,277,2,0,,,,,,
KP15,,AGHY,278,5,5,,,,,,
KP15,,AGHY,279,4,0,,,,,,
KP15,,AGHY,280,3,3,,,,,,
KP15,,AGHY,281,3,0,,,,,,
KP15,,AGHY,282,4,0,,,,,,
KP15,,AGHY,283,5,5,,,,,,
KP15,,AGHY,284,5,5,,,,,,
KP15,,AGHY,285,5,0,,,,,,
KP15,,AGHY,286,5,3,,,,,,
KP15,,AGHY,287,5,5,,,,,,
KP15,,AGHY,288,4,0,,,,,,
KP15,,AGHY,289,5,0,,,,,,
KP15,,AGHY,290,5,5,,,,,,
KP15,,AGHY,291,5,5,,,,,,
KP15,,AGHY,292,5,5,,,,,,
KP15,,AGHY,293,5,5,,,,,,
GBP15,,AGHY,294,5,5,,,,,,
GBP15,,AGHY,295,5,4,,,,,,
GBP15,,AGHY,296,4,2,,,,,,
GBP15,,AGHY,297,5,5,,,,,,
GBP15,,AGHY,298,4,1,,,,,,
GBP15,,AGHY,299,5,3,,,,,,
GBP15,,AGHY,300,5,0,,,,,,
GBP15,,AGHY,301,4,2,,,,,,
GBP15,,AGHY,302,4,2,,,,,,
GBP15,,AGHY,303,5,3,,,,,,
GBP15,,AGHY,304,5,5,,,,,,
GBP15,,AGHY,305,5,3,,,,,,
GBP15,,AGHY,306,5,3,,,,,,
GBP15,,AGHY,307,5,2,,,,,,
GBP15,,AGHY,308,4,4,,,,,,
GBP15,,AGHY,309,5,5,,,,,,
GBP15,,AGHY,310,4,3,,,,,,
GBP15,,AGHY,311,4,0,,,,,,
GBP15,,AGHY,312,3,3,,,,,,
GBP15,,AGHY,313,5,5,,,,,,
GBP15,,AGHY,314,5,5,,,,,,
GBP15,,AGHY,315,4,0,,,,,,
GBP15,,AGHY,316,4,3,,,,,,
GBP15,,AGHY,317,5,5,,,,,,
GBP15,,AGHY,318,5,3,,,,,,
GBP15,,AGHY,319,5,5,,,,,,
GBP15,,AGHY,320,5,5,,,,,,
GBP15,,AGHY,321,4,1,,,,,,
