"","species","plot","endo_01","id","origin_01","dist_a","dist_b","birth","endo_status_from_check","year_t","size_t","flw_count_t","spike_a_t","spike_b_t","spike_c_t","spike_d_t","year_t1","surv_t1","size_t1","flw_count_t1","spike_a_t1","spike_b_t1","spike_c_t1","spike_d_t1","mean_spike_t","mean_spike_t1","age","max_birth","min_death","id_update"
"250","POSY",5,1,"5_631",1,1.545,2.027,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,5,1,92,NA,NA,NA,NA,92,1,2016,2020,NA
"251","POSY",5,1,"5_631",1,1.545,2.027,2014,NA,2016,5,1,92,NA,NA,NA,2017,1,9,2,24,30,NA,NA,92,27,0,2016,2020,NA
"252","POSY",5,1,"5_631",1,1.545,2.027,2014,NA,2017,9,2,24,30,NA,NA,2018,1,2,0,NA,NA,NA,NA,27,NA,1,2016,2020,NA
"253","POSY",5,1,"5_632",1,NA,NA,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"254","POSY",5,1,"5_632",1,NA,NA,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,6,3,38,33,89,NA,NA,53.3333333333333,1,2016,2017,NA
"255","POSY",5,1,"5_632",1,NA,NA,2014,NA,2016,6,3,38,33,89,NA,2017,0,NA,NA,NA,NA,NA,NA,53.3333333333333,NA,0,2016,2017,NA
"256","POSY",5,1,"5_633",1,1.525,2.04,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"257","POSY",5,1,"5_633",1,1.525,2.04,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,5,2,58,102,NA,NA,NA,80,1,2016,2019,NA
"258","POSY",5,1,"5_633",1,1.525,2.04,2014,NA,2016,5,2,58,102,NA,NA,2017,1,11,2,21,25,NA,NA,80,23,0,2016,2019,NA
"259","POSY",5,1,"5_633",1,1.525,2.04,2014,NA,2017,11,2,21,25,NA,NA,2018,1,6,0,NA,NA,NA,NA,23,NA,1,2016,2019,NA
"260","POSY",5,1,"5_634",1,NA,NA,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2018,NA
"261","POSY",5,1,"5_634",1,NA,NA,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,6,0,NA,NA,NA,NA,NA,NA,1,2016,2018,NA
"262","POSY",5,1,"5_634",1,NA,NA,2016,NA,2016,6,0,NA,NA,NA,NA,2017,1,8,2,26,62,NA,NA,NA,44,0,2016,2018,NA
"263","POSY",5,1,"5_634",1,NA,NA,2016,NA,2017,8,2,26,62,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,44,NA,1,2016,2018,NA
"264","POSY",5,1,"5_635",1,NA,NA,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2018,NA
"265","POSY",5,1,"5_635",1,NA,NA,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,7,1,65,NA,NA,NA,NA,65,1,2016,2018,NA
"266","POSY",5,1,"5_635",1,NA,NA,2016,NA,2016,7,1,65,NA,NA,NA,2017,1,5,0,NA,NA,NA,NA,65,NA,0,2016,2018,NA
"267","POSY",5,1,"5_635",1,NA,NA,2016,NA,2017,5,0,NA,NA,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2016,2018,NA
"268","POSY",5,1,"5_636",1,1.9,2.134,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"269","POSY",5,1,"5_636",1,1.9,2.134,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,5,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"270","POSY",5,1,"5_636",1,1.9,2.134,2014,NA,2016,5,0,NA,NA,NA,NA,2017,1,7,2,14,32,NA,NA,NA,23,0,2016,2019,NA
"271","POSY",5,1,"5_636",1,1.9,2.134,2014,NA,2017,7,2,14,32,NA,NA,2018,1,3,0,NA,NA,NA,NA,23,NA,1,2016,2019,NA
"272","POSY",5,1,"5_637",1,1.878,2.099,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"273","POSY",5,1,"5_637",1,1.878,2.099,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,8,1,58,NA,NA,NA,NA,58,1,2016,2019,NA
"274","POSY",5,1,"5_637",1,1.878,2.099,2014,NA,2016,8,1,58,NA,NA,NA,2017,1,9,3,44,49,39,NA,58,44,0,2016,2019,NA
"275","POSY",5,1,"5_637",1,1.878,2.099,2014,NA,2017,9,3,44,49,39,NA,2018,1,3,0,NA,NA,NA,NA,44,NA,1,2016,2019,NA
"276","POSY",5,1,"5_638",1,1.819,2.1,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"277","POSY",5,1,"5_638",1,1.819,2.1,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,8,6,44,62,72,NA,NA,59.3333333333333,1,2016,2019,NA
"278","POSY",5,1,"5_638",1,1.819,2.1,2014,NA,2016,8,6,44,62,72,NA,2017,1,8,2,16,36,NA,NA,59.3333333333333,26,0,2016,2019,NA
"279","POSY",5,1,"5_638",1,1.819,2.1,2014,NA,2017,8,2,16,36,NA,NA,2018,1,2,0,NA,NA,NA,NA,26,NA,1,2016,2019,NA
"280","POSY",5,1,"5_639",1,NA,NA,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"281","POSY",5,1,"5_639",1,NA,NA,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,9,3,34,80,48,NA,NA,54,1,2016,2017,NA
"282","POSY",5,1,"5_639",1,NA,NA,2014,NA,2016,9,3,34,80,48,NA,2017,0,NA,NA,NA,NA,NA,NA,54,NA,0,2016,2017,NA
"283","POSY",5,1,"5_640",1,1.882,2.177,2014,NA,2014,1,0,NA,NA,NA,NA,2015,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"284","POSY",5,1,"5_640",1,1.882,2.177,2014,NA,2015,3,0,NA,NA,NA,NA,2016,1,6,2,36,86,NA,NA,NA,61,1,2016,2019,NA
"285","POSY",5,1,"5_640",1,1.882,2.177,2014,NA,2016,6,2,36,86,NA,NA,2017,1,3,1,27,NA,NA,NA,61,27,0,2016,2019,NA
"286","POSY",5,1,"5_640",1,1.882,2.177,2014,NA,2017,3,1,27,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,27,NA,1,2016,2019,NA
"287","POSY",5,1,"5_641",1,1.254,2.449,2014,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"288","POSY",5,1,"5_641",1,1.254,2.449,2014,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"289","POSY",5,1,"5_641",1,1.254,2.449,2014,NA,2015,7,0,NA,NA,NA,NA,2016,1,3,0,NA,NA,NA,NA,NA,NA,2,2016,2019,NA
"290","POSY",5,1,"5_641",1,1.254,2.449,2014,NA,2016,3,0,NA,NA,NA,NA,2017,1,8,2,55,68,NA,NA,NA,61.5,0,2016,2019,NA
"291","POSY",5,1,"5_641",1,1.254,2.449,2014,NA,2017,8,2,55,68,NA,NA,2018,1,1,0,NA,NA,NA,NA,61.5,NA,1,2016,2019,NA
"292","POSY",5,1,"5_642",1,1.182,2.418,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"293","POSY",5,1,"5_642",1,1.182,2.418,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"294","POSY",5,1,"5_642",1,1.182,2.418,2013,NA,2015,7,0,NA,NA,NA,NA,2016,1,2,0,NA,NA,NA,NA,NA,NA,2,2016,2019,NA
"295","POSY",5,1,"5_642",1,1.182,2.418,2013,NA,2016,2,0,NA,NA,NA,NA,2017,1,5,1,40,NA,NA,NA,NA,40,0,2016,2019,NA
"296","POSY",5,1,"5_642",1,1.182,2.418,2013,NA,2017,5,1,40,NA,NA,NA,2018,1,3,0,NA,NA,NA,NA,40,NA,1,2016,2019,NA
"297","POSY",5,1,"5_643",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2018,NA
"298","POSY",5,1,"5_643",1,NA,NA,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2018,NA
"299","POSY",5,1,"5_643",1,NA,NA,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,3,1,28,NA,NA,NA,NA,28,2,2016,2018,NA
"300","POSY",5,1,"5_643",1,NA,NA,2013,NA,2016,3,1,28,NA,NA,NA,2017,1,5,1,29,NA,NA,NA,28,29,0,2016,2018,NA
"301","POSY",5,1,"5_643",1,NA,NA,2013,NA,2017,5,1,29,NA,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,29,NA,1,2016,2018,NA
"302","POSY",5,1,"5_644",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"303","POSY",5,1,"5_644",1,NA,NA,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"304","POSY",5,1,"5_644",1,NA,NA,2013,NA,2015,7,0,NA,NA,NA,NA,2016,1,5,0,NA,NA,NA,NA,NA,NA,2,2016,2017,NA
"305","POSY",5,1,"5_644",1,NA,NA,2013,NA,2016,5,0,NA,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"306","POSY",5,1,"5_645",1,1.127,2.315,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"307","POSY",5,1,"5_645",1,1.127,2.315,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"308","POSY",5,1,"5_645",1,1.127,2.315,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,3,1,77,NA,NA,NA,NA,77,2,2016,2019,NA
"309","POSY",5,1,"5_645",1,1.127,2.315,2013,NA,2016,3,1,77,NA,NA,NA,2017,1,5,1,47,NA,NA,NA,77,47,0,2016,2019,NA
"310","POSY",5,1,"5_645",1,1.127,2.315,2013,NA,2017,5,1,47,NA,NA,NA,2018,1,2,0,NA,NA,NA,NA,47,NA,1,2016,2019,NA
"311","POSY",5,1,"5_646",1,1.14,2.285,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"312","POSY",5,1,"5_646",1,1.14,2.285,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"313","POSY",5,1,"5_646",1,1.14,2.285,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,5,2,62,71,NA,NA,NA,66.5,2,2016,2019,NA
"314","POSY",5,1,"5_646",1,1.14,2.285,2013,NA,2016,5,2,62,71,NA,NA,2017,1,7,2,28,62,NA,NA,66.5,45,0,2016,2019,NA
"315","POSY",5,1,"5_646",1,1.14,2.285,2013,NA,2017,7,2,28,62,NA,NA,2018,1,1,0,NA,NA,NA,NA,45,NA,1,2016,2019,NA
"316","POSY",5,1,"5_647",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2018,NA
"317","POSY",5,1,"5_647",1,NA,NA,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2018,NA
"318","POSY",5,1,"5_647",1,NA,NA,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,7,0,NA,NA,NA,NA,NA,NA,2,2016,2018,NA
"319","POSY",5,1,"5_647",1,NA,NA,2013,NA,2016,7,0,NA,NA,NA,NA,2017,1,5,1,46,NA,NA,NA,NA,46,0,2016,2018,NA
"320","POSY",5,1,"5_647",1,NA,NA,2013,NA,2017,5,1,46,NA,NA,NA,2018,0,NA,NA,NA,NA,NA,NA,46,NA,1,2016,2018,NA
"321","POSY",5,1,"5_648",1,1.272,2.257,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"322","POSY",5,1,"5_648",1,1.272,2.257,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
"323","POSY",5,1,"5_648",1,1.272,2.257,2013,NA,2015,7,0,NA,NA,NA,NA,2016,1,6,0,NA,NA,NA,NA,NA,NA,2,2016,2019,NA
"324","POSY",5,1,"5_648",1,1.272,2.257,2013,NA,2016,6,0,NA,NA,NA,NA,2017,1,12,2,51,33,NA,NA,NA,42,0,2016,2019,NA
"325","POSY",5,1,"5_648",1,1.272,2.257,2013,NA,2017,12,2,51,33,NA,NA,2018,1,1,0,NA,NA,NA,NA,42,NA,1,2016,2019,NA
"326","POSY",5,1,"5_649",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"327","POSY",5,1,"5_649",1,NA,NA,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"328","POSY",5,1,"5_649",1,NA,NA,2013,NA,2015,7,0,NA,NA,NA,NA,2016,1,4,0,NA,NA,NA,NA,NA,NA,2,2016,2017,NA
"329","POSY",5,1,"5_649",1,NA,NA,2013,NA,2016,4,0,NA,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"330","POSY",5,1,"5_650",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,3,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"331","POSY",5,1,"5_650",1,NA,NA,2013,NA,2014,3,0,NA,NA,NA,NA,2015,1,7,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"332","POSY",5,1,"5_650",1,NA,NA,2013,NA,2015,7,0,NA,NA,NA,NA,2016,1,2,0,NA,NA,NA,NA,NA,NA,2,2016,2017,NA
"333","POSY",5,1,"5_650",1,NA,NA,2013,NA,2016,2,0,NA,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"334","POSY",5,1,"5_651",1,NA,NA,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"335","POSY",5,1,"5_651",1,NA,NA,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"336","POSY",5,1,"5_651",1,NA,NA,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,4,1,34,NA,NA,NA,NA,34,2,2016,2017,NA
"337","POSY",5,1,"5_651",1,NA,NA,2013,NA,2016,4,1,34,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,34,NA,0,2016,2017,NA
"338","POSY",5,1,"5_652",1,1.246,2.359,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2020,NA
"339","POSY",5,1,"5_652",1,1.246,2.359,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2020,NA
"340","POSY",5,1,"5_652",1,1.246,2.359,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,6,3,28,68,44,NA,NA,46.6666666666667,2,2016,2020,NA
"341","POSY",5,1,"5_652",1,1.246,2.359,2013,NA,2016,6,3,28,68,44,NA,2017,1,4,1,51,NA,NA,NA,46.6666666666667,51,0,2016,2020,NA
"342","POSY",5,1,"5_652",1,1.246,2.359,2013,NA,2017,4,1,51,NA,NA,NA,2018,1,1,0,NA,NA,NA,NA,51,NA,1,2016,2020,NA
"343","POSY",5,1,"5_653",1,1.24,2.33,2013,NA,2013,1,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,0,2016,2021,NA
"344","POSY",5,1,"5_653",1,1.24,2.33,2013,NA,2014,4,0,NA,NA,NA,NA,2015,1,13,0,NA,NA,NA,NA,NA,NA,1,2016,2021,NA
"345","POSY",5,1,"5_653",1,1.24,2.33,2013,NA,2015,13,0,NA,NA,NA,NA,2016,1,5,2,67,55,NA,NA,NA,61,2,2016,2021,NA
"346","POSY",5,1,"5_653",1,1.24,2.33,2013,NA,2016,5,2,67,55,NA,NA,2017,1,14,5,55,49,58,NA,61,54,0,2016,2021,NA
"347","POSY",5,1,"5_653",1,1.24,2.33,2013,NA,2017,14,5,55,49,58,NA,2018,1,7,0,NA,NA,NA,NA,54,NA,1,2016,2021,NA
"348","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2011,2,0,NA,NA,NA,NA,2012,1,9,0,NA,NA,NA,NA,NA,NA,0,2016,2020,NA
"349","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2012,9,0,NA,NA,NA,NA,2013,1,9,0,NA,NA,NA,NA,NA,NA,1,2016,2020,NA
"350","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2013,9,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,2,2016,2020,NA
"351","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2014,4,0,NA,NA,NA,NA,2015,1,10,0,NA,NA,NA,NA,NA,NA,3,2016,2020,NA
"352","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2015,10,0,NA,NA,NA,NA,2016,1,9,4,59,94,84,NA,NA,79,4,2016,2020,NA
"353","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2016,9,4,59,94,84,NA,2017,1,12,3,48,58,39,NA,79,48.3333333333333,0,2016,2020,NA
"354","POSY",5,1,"5_659",1,1.503,2.506,2011,NA,2017,12,3,48,58,39,NA,2018,1,7,1,49,NA,NA,NA,48.3333333333333,49,1,2016,2020,NA
"355","POSY",5,1,"5_660",1,NA,NA,2011,NA,2011,2,0,NA,NA,NA,NA,2012,1,9,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"356","POSY",5,1,"5_660",1,NA,NA,2011,NA,2012,9,0,NA,NA,NA,NA,2013,1,2,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"357","POSY",5,1,"5_660",1,NA,NA,2011,NA,2013,2,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,2,2016,2017,NA
"358","POSY",5,1,"5_660",1,NA,NA,2011,NA,2014,4,0,NA,NA,NA,NA,2015,1,10,0,NA,NA,NA,NA,NA,NA,3,2016,2017,NA
"359","POSY",5,1,"5_660",1,NA,NA,2011,NA,2015,10,0,NA,NA,NA,NA,2016,1,11,4,112,53,104,NA,NA,89.6666666666667,4,2016,2017,NA
"360","POSY",5,1,"5_660",1,NA,NA,2011,NA,2016,11,4,112,53,104,NA,2017,0,NA,NA,NA,NA,NA,NA,89.6666666666667,NA,0,2016,2017,NA
"361","POSY",5,1,"5_661",1,NA,NA,2011,NA,2011,1,0,NA,NA,NA,NA,2012,1,9,0,NA,NA,NA,NA,NA,NA,0,2016,2017,NA
"362","POSY",5,1,"5_661",1,NA,NA,2011,NA,2012,9,0,NA,NA,NA,NA,2013,1,2,0,NA,NA,NA,NA,NA,NA,1,2016,2017,NA
"363","POSY",5,1,"5_661",1,NA,NA,2011,NA,2013,2,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,2,2016,2017,NA
"364","POSY",5,1,"5_661",1,NA,NA,2011,NA,2014,4,0,NA,NA,NA,NA,2015,1,10,0,NA,NA,NA,NA,NA,NA,3,2016,2017,NA
"365","POSY",5,1,"5_661",1,NA,NA,2011,NA,2015,10,0,NA,NA,NA,NA,2016,1,3,1,39,NA,NA,NA,NA,39,4,2016,2017,NA
"366","POSY",5,1,"5_661",1,NA,NA,2011,NA,2016,3,1,39,NA,NA,NA,2017,0,NA,NA,NA,NA,NA,NA,39,NA,0,2016,2017,NA
"367","POSY",5,1,"5_662",1,1.512,2.453,2011,NA,2011,1,0,NA,NA,NA,NA,2012,1,9,0,NA,NA,NA,NA,NA,NA,0,2016,2020,NA
"368","POSY",5,1,"5_662",1,1.512,2.453,2011,NA,2012,9,0,NA,NA,NA,NA,2013,1,2,0,NA,NA,NA,NA,NA,NA,1,2016,2020,NA
"369","POSY",5,1,"5_662",1,1.512,2.453,2011,NA,2013,2,0,NA,NA,NA,NA,2014,1,4,0,NA,NA,NA,NA,NA,NA,2,2016,2020,NA
"370","POSY",5,1,"5_662",1,1.512,2.453,2011,NA,2014,4,0,NA,NA,NA,NA,2015,1,5,0,NA,NA,NA,NA,NA,NA,3,2016,2020,NA
"371","POSY",5,1,"5_662",1,1.512,2.453,2011,NA,2015,5,0,NA,NA,NA,NA,2016,1,4,0,NA,NA,NA,NA,NA,NA,4,2016,2020,NA
"372","POSY",5,1,"5_662",1,1.512,2.453,2016,NA,2016,4,0,NA,NA,NA,NA,2017,1,6,3,27,44,23,NA,NA,31.3333333333333,0,2016,2020,NA
"373","POSY",5,1,"5_662",1,1.512,2.453,2016,NA,2017,6,3,27,44,23,NA,2018,1,3,0,NA,NA,NA,NA,31.3333333333333,NA,1,2016,2020,NA
"374","POSY",5,1,"5_663",1,1.433,2.536,2011,NA,2011,1,0,NA,NA,NA,NA,2012,1,5,0,NA,NA,NA,NA,NA,NA,0,2016,2019,NA
"375","POSY",5,1,"5_663",1,1.433,2.536,2011,NA,2012,5,0,NA,NA,NA,NA,2013,1,2,0,NA,NA,NA,NA,NA,NA,1,2016,2019,NA
